Date,Ticker,Close,Return,Volatility,Liquidity,PE Ratio,Forward PE,PB Ratio,PEG Ratio,Beta,Debt/Equity,ROE,Profit Margin,Revenue Growth,Market Cap,Free Cash Flow,Short Ratio,LocalMax,IsCorrection,IsCrash,DropPct,LogClose
2010-02-01,NVDA,0.3799024820327759,0.0,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.3799024820327759,False,False,0.0,-0.9678406854253883
2010-02-02,NVDA,0.383800208568573,0.010259808030053552,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.383800208568573,False,False,0.0,-0.957633151978323
2010-02-03,NVDA,0.38700997829437256,0.00836312658028704,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.38700997829437256,False,False,0.0,-0.9493048025783603
2010-02-04,NVDA,0.3645413815975189,-0.05805689247568513,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.38700997829437256,False,False,0.058056892475685164,-1.0091152042174427
2010-02-05,NVDA,0.37187808752059937,0.020125852080027373,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.38700997829437256,False,False,0.03909948482584957,-0.9891892001403074
2010-02-08,NVDA,0.37119024991989136,-0.001849631972924204,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.38700997829437256,False,False,0.04087679714151503,-0.991040544794662
2010-02-09,NVDA,0.3682096600532532,-0.008029817235990055,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.38700997829437256,False,False,0.04857838116726604,-0.9991027746412384
2010-02-10,NVDA,0.3753170967102051,0.019302689277418628,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.38700997829437256,False,False,0.030213385287119105,-0.9799840190953627
2010-02-11,NVDA,0.39251255989074707,0.045815827020049715,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.39251255989074707,False,False,0.0,-0.9351867425500056
2010-02-12,NVDA,0.3977856934070587,0.013434305179379269,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.3977856934070587,False,False,0.0,-0.9218418774949214
2010-02-16,NVDA,0.405122309923172,0.018443640979831866,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.405122309923172,False,False,0.0,-0.9035662576580603
2010-02-17,NVDA,0.40902000665664673,0.009621037000440369,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.0,-0.8939912081047643
2010-02-18,NVDA,0.3821953237056732,-0.06558281383407139,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.06558281383407141,-0.9618234824531353
2010-02-19,NVDA,0.38013187050819397,-0.005398949357811378,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.07062768490124985,-0.9672370588087326
2010-02-22,NVDA,0.380819708108902,0.0018094710127525282,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.06894601263702387,-0.9654292229164814
2010-02-23,NVDA,0.3716488778591156,-0.02408181628867756,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.09136748371553974,-0.9898057471639314
2010-02-24,NVDA,0.3794440031051636,0.020974435039200934,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.07230943002822557,-0.9690482474337699
2010-02-25,NVDA,0.3760049343109131,-0.00906344221046329,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.08071749989835647,-0.9781530125110285
2010-02-26,NVDA,0.37141942977905273,-0.012195330734858567,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.09192845402586365,-0.99042331646408
2010-03-01,NVDA,0.3863222002983093,0.04012383123877461,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.05549314456246429,-0.951083541900068
2010-03-02,NVDA,0.3860929310321808,-0.000593466453523761,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.056053677696289696,-0.9516771845245121
2010-03-03,NVDA,0.3812781572341919,-0.012470504925115034,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.0678251649576223,-0.9642260987471616
2010-03-04,NVDA,0.3819659352302551,0.0018038746332924571,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.06614363841889581,-0.9624238491417779
2010-03-05,NVDA,0.393658846616745,0.030612445529838217,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.03755601141730144,-0.9322706162985931
2010-03-08,NVDA,0.3879271447658539,-0.014560073780004124,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.05156926690018692,-0.9469377282121128
2010-03-09,NVDA,0.4023711383342743,0.03723377897965485,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.016255606606436376,-0.9103803865902699
2010-03-10,NVDA,0.4032883048057556,0.002279404221878778,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.014013255482885487,-0.9081035762692432
2010-03-11,NVDA,0.39411747455596924,-0.0227401343914585,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.036434726561401364,-0.9311062553532009
2010-03-12,NVDA,0.3954930603504181,0.003490293841953207,,,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.03307160062119866,-0.9276220384507015
2010-03-15,NVDA,0.39342957735061646,-0.005217494835366598,,621798266.6666666,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.03811654455112685,-0.9328531919422731
2010-03-16,NVDA,0.40718597173690796,0.034965328430384135,0.4017010552185757,612303466.6666666,47.4585,27.001379,68.84748,,1.657,17.221,1.23767,0.55041003,1.224,2940514336768,33725874176,1.01,0.40902000665664673,False,False,0.004483973619604276,-0.8984852648871263
